date,event_name,event_count,total_users,event_count_per_user,event_value,conversions,total_revenue
2025-04-29T00:00:00Z,page_view,1608,604,2.66,0.0,0,0.0
2025-04-29T00:00:00Z,scroll,856,401,2.13,0.0,0,0.0
2025-04-29T00:00:00Z,click,608,243,2.5,0.0,0,0.0
2025-04-29T00:00:00Z,sign_up,245,116,2.11,0.0,38,0.0
2025-04-29T00:00:00Z,purchase,144,74,1.95,82.93,27,1487.18
2025-04-29T00:00:00Z,add_to_cart,198,132,1.5,351.06,0,0.0
2025-04-29T00:00:00Z,begin_checkout,117,57,2.05,0.0,0,0.0
2025-04-29T00:00:00Z,view_item,397,182,2.18,0.0,0,0.0
2025-04-30T00:00:00Z,page_view,2337,1126,2.08,0.0,0,0.0
2025-04-30T00:00:00Z,scroll,1087,466,2.33,0.0,0,0.0
2025-04-30T00:00:00Z,click,985,454,2.17,0.0,0,0.0
2025-04-30T00:00:00Z,sign_up,289,200,1.45,0.0,37,0.0
2025-04-30T00:00:00Z,purchase,180,93,1.94,201.58,19,776.21
2025-04-30T00:00:00Z,add_to_cart,248,136,1.82,406.72,0,0.0
2025-04-30T00:00:00Z,begin_checkout,157,81,1.94,0.0,0,0.0
2025-04-30T00:00:00Z,view_item,649,308,2.11,0.0,0,0.0
2025-05-01T00:00:00Z,page_view,2092,1176,1.78,0.0,0,0.0
2025-05-01T00:00:00Z,scroll,1163,408,2.85,0.0,0,0.0
2025-05-01T00:00:00Z,click,884,295,3.0,0.0,0,0.0
2025-05-01T00:00:00Z,sign_up,282,157,1.8,0.0,36,0.0
2025-05-01T00:00:00Z,purchase,157,55,2.85,244.02,25,1497.87
2025-05-01T00:00:00Z,add_to_cart,249,84,2.96,374.92,0,0.0
2025-05-01T00:00:00Z,begin_checkout,166,51,3.25,0.0,0,0.0
2025-05-01T00:00:00Z,view_item,522,355,1.47,0.0,0,0.0
2025-05-02T00:00:00Z,page_view,2240,1083,2.07,0.0,0,0.0
2025-05-02T00:00:00Z,scroll,1155,432,2.67,0.0,0,0.0
2025-05-02T00:00:00Z,click,1001,616,1.62,0.0,0,0.0
2025-05-02T00:00:00Z,sign_up,317,191,1.66,0.0,40,0.0
2025-05-02T00:00:00Z,purchase,168,107,1.57,310.05,27,1227.38
2025-05-02T00:00:00Z,add_to_cart,218,123,1.77,169.42,0,0.0
2025-05-02T00:00:00Z,begin_checkout,166,71,2.34,0.0,0,0.0
2025-05-02T00:00:00Z,view_item,576,232,2.48,0.0,0,0.0
2025-05-03T00:00:00Z,page_view,1249,519,2.41,0.0,0,0.0
2025-05-03T00:00:00Z,scroll,629,400,1.57,0.0,0,0.0
2025-05-03T00:00:00Z,click,539,348,1.55,0.0,0,0.0
2025-05-03T00:00:00Z,sign_up,197,97,2.03,0.0,24,0.0
2025-05-03T00:00:00Z,purchase,94,42,2.24,126.18,15,634.11
2025-05-03T00:00:00Z,add_to_cart,138,80,1.73,160.88,0,0.0
2025-05-03T00:00:00Z,begin_checkout,93,48,1.94,0.0,0,0.0
2025-05-03T00:00:00Z,view_item,377,146,2.58,0.0,0,0.0
2025-05-04T00:00:00Z,page_view,1351,501,2.7,0.0,0,0.0
2025-05-04T00:00:00Z,scroll,612,355,1.72,0.0,0,0.0
2025-05-04T00:00:00Z,click,552,353,1.56,0.0,0,0.0
2025-05-04T00:00:00Z,sign_up,194,102,1.9,0.0,26,0.0
2025-05-04T00:00:00Z,purchase,97,41,2.37,166.18,16,787.03
2025-05-04T00:00:00Z,add_to_cart,126,62,2.03,125.59,0,0.0
2025-05-04T00:00:00Z,begin_checkout,94,41,2.29,0.0,0,0.0
2025-05-04T00:00:00Z,view_item,340,188,1.81,0.0,0,0.0
2025-05-05T00:00:00Z,page_view,2115,1158,1.83,0.0,0,0.0
2025-05-05T00:00:00Z,scroll,1030,579,1.78,0.0,0,0.0
2025-05-05T00:00:00Z,click,829,286,2.9,0.0,0,0.0
2025-05-05T00:00:00Z,sign_up,279,108,2.58,0.0,38,0.0
2025-05-05T00:00:00Z,purchase,148,93,1.59,288.1,20,913.19
2025-05-05T00:00:00Z,add_to_cart,220,70,3.14,164.17,0,0.0
2025-05-05T00:00:00Z,begin_checkout,139,81,1.72,0.0,0,0.0
2025-05-05T00:00:00Z,view_item,554,189,2.93,0.0,0,0.0
2025-05-06T00:00:00Z,page_view,1860,934,1.99,0.0,0,0.0
2025-05-06T00:00:00Z,scroll,1048,525,2.0,0.0,0,0.0
2025-05-06T00:00:00Z,click,735,254,2.89,0.0,0,0.0
2025-05-06T00:00:00Z,sign_up,258,103,2.5,0.0,39,0.0
2025-05-06T00:00:00Z,purchase,156,96,1.62,136.53,22,908.87
2025-05-06T00:00:00Z,add_to_cart,205,81,2.53,206.95,0,0.0
2025-05-06T00:00:00Z,begin_checkout,167,95,1.76,0.0,0,0.0
2025-05-06T00:00:00Z,view_item,576,371,1.55,0.0,0,0.0
2025-05-07T00:00:00Z,page_view,1550,764,2.03,0.0,0,0.0
2025-05-07T00:00:00Z,scroll,893,318,2.81,0.0,0,0.0
2025-05-07T00:00:00Z,click,664,204,3.25,0.0,0,0.0
2025-05-07T00:00:00Z,sign_up,214,120,1.78,0.0,41,0.0
2025-05-07T00:00:00Z,purchase,108,39,2.77,100.01,27,1310.55
2025-05-07T00:00:00Z,add_to_cart,144,80,1.8,73.8,0,0.0
2025-05-07T00:00:00Z,begin_checkout,121,49,2.47,0.0,0,0.0
2025-05-07T00:00:00Z,view_item,462,260,1.78,0.0,0,0.0
2025-05-08T00:00:00Z,page_view,2220,1363,1.63,0.0,0,0.0
2025-05-08T00:00:00Z,scroll,1094,603,1.81,0.0,0,0.0
2025-05-08T00:00:00Z,click,905,478,1.89,0.0,0,0.0
2025-05-08T00:00:00Z,sign_up,308,128,2.41,0.0,37,0.0
2025-05-08T00:00:00Z,purchase,189,58,3.26,231.93,18,581.51
2025-05-08T00:00:00Z,add_to_cart,255,102,2.5,363.04,0,0.0
2025-05-08T00:00:00Z,begin_checkout,164,66,2.48,0.0,0,0.0
2025-05-08T00:00:00Z,view_item,632,342,1.85,0.0,0,0.0
2025-05-09T00:00:00Z,page_view,2544,853,2.98,0.0,0,0.0
2025-05-09T00:00:00Z,scroll,1149,764,1.5,0.0,0,0.0
2025-05-09T00:00:00Z,click,863,450,1.92,0.0,0,0.0
2025-05-09T00:00:00Z,sign_up,313,188,1.66,0.0,40,0.0
2025-05-09T00:00:00Z,purchase,157,58,2.71,168.41,24,750.41
2025-05-09T00:00:00Z,add_to_cart,259,164,1.58,247.57,0,0.0
2025-05-09T00:00:00Z,begin_checkout,180,87,2.07,0.0,0,0.0
2025-05-09T00:00:00Z,view_item,506,152,3.33,0.0,0,0.0
2025-05-10T00:00:00Z,page_view,1498,1018,1.47,0.0,0,0.0
2025-05-10T00:00:00Z,scroll,763,510,1.5,0.0,0,0.0
2025-05-10T00:00:00Z,click,586,278,2.11,0.0,0,0.0
2025-05-10T00:00:00Z,sign_up,170,54,3.15,0.0,29,0.0
2025-05-10T00:00:00Z,purchase,101,49,2.06,75.28,17,569.17
2025-05-10T00:00:00Z,add_to_cart,168,83,2.02,195.26,0,0.0
2025-05-10T00:00:00Z,begin_checkout,129,67,1.93,0.0,0,0.0
2025-05-10T00:00:00Z,view_item,370,127,2.91,0.0,0,0.0
2025-05-11T00:00:00Z,page_view,1238,717,1.73,0.0,0,0.0
2025-05-11T00:00:00Z,scroll,776,457,1.7,0.0,0,0.0
2025-05-11T00:00:00Z,click,608,395,1.54,0.0,0,0.0
2025-05-11T00:00:00Z,sign_up,161,80,2.01,0.0,25,0.0
2025-05-11T00:00:00Z,purchase,115,75,1.53,220.58,15,890.84
2025-05-11T00:00:00Z,add_to_cart,150,61,2.46,224.01,0,0.0
2025-05-11T00:00:00Z,begin_checkout,100,38,2.63,0.0,0,0.0
2025-05-11T00:00:00Z,view_item,401,172,2.33,0.0,0,0.0
2025-05-12T00:00:00Z,page_view,2020,1396,1.45,0.0,0,0.0
2025-05-12T00:00:00Z,scroll,1003,327,3.07,0.0,0,0.0
2025-05-12T00:00:00Z,click,613,407,1.51,0.0,0,0.0
2025-05-12T00:00:00Z,sign_up,235,118,1.99,0.0,39,0.0
2025-05-12T00:00:00Z,purchase,153,76,2.01,238.21,18,551.46
2025-05-12T00:00:00Z,add_to_cart,206,72,2.86,176.05,0,0.0
2025-05-12T00:00:00Z,begin_checkout,140,55,2.55,0.0,0,0.0
2025-05-12T00:00:00Z,view_item,417,148,2.82,0.0,0,0.0
2025-05-13T00:00:00Z,page_view,1947,1167,1.67,0.0,0,0.0
2025-05-13T00:00:00Z,scroll,847,504,1.68,0.0,0,0.0
2025-05-13T00:00:00Z,click,781,491,1.59,0.0,0,0.0
