date,landing_page,sessions,total_users,new_users,bounce_rate,engagement_rate,avg_session_duration,conversions,total_revenue
2025-04-29T00:00:00Z,/,318,261,120,40.3,61.19,130.8,8,369.43
2025-04-29T00:00:00Z,/features,191,149,61,54.9,45.7,132.6,6,201.78
2025-04-29T00:00:00Z,/pricing,164,131,61,39.6,59.28,88.5,6,221.21
2025-04-29T00:00:00Z,/blog,200,175,63,39.76,60.92,105.7,4,232.26
2025-04-29T00:00:00Z,/blog/analytics-guide,182,149,75,51.15,47.61,91.6,6,256.24
2025-04-29T00:00:00Z,/signup,118,101,48,54.68,43.71,128.3,3,167.55
2025-04-30T00:00:00Z,/,354,299,158,51.53,46.75,99.9,10,524.69
2025-04-30T00:00:00Z,/features,178,141,52,48.77,52.03,193.1,6,268.88
2025-04-30T00:00:00Z,/pricing,152,114,49,41.45,57.56,91.0,7,385.55
2025-04-30T00:00:00Z,/blog,178,158,86,48.45,50.63,84.8,7,308.81
2025-04-30T00:00:00Z,/blog/analytics-guide,182,161,62,46.71,53.83,139.0,4,161.76
2025-04-30T00:00:00Z,/signup,110,93,48,41.6,59.18,114.6,5,272.03
2025-05-01T00:00:00Z,/,290,233,94,47.89,54.02,90.8,10,415.34
2025-05-01T00:00:00Z,/features,172,153,76,35.82,65.82,148.6,4,192.6
2025-05-01T00:00:00Z,/pricing,168,150,66,51.22,50.13,197.9,3,148.15
2025-05-01T00:00:00Z,/blog,145,124,67,45.48,54.96,123.7,6,249.73
2025-05-01T00:00:00Z,/blog/analytics-guide,182,155,55,47.62,51.72,119.6,6,249.58
2025-05-01T00:00:00Z,/signup,103,90,48,47.05,51.55,89.8,4,230.01
2025-05-02T00:00:00Z,/,370,280,121,49.35,49.06,172.5,7,325.57
2025-05-02T00:00:00Z,/features,200,162,86,52.57,47.34,103.9,9,356.72
2025-05-02T00:00:00Z,/pricing,185,163,59,46.48,53.66,166.8,8,459.18
2025-05-02T00:00:00Z,/blog,160,141,54,53.39,48.6,127.6,5,290.49
2025-05-02T00:00:00Z,/blog/analytics-guide,202,179,94,35.19,65.09,92.9,9,346.83
2025-05-02T00:00:00Z,/signup,136,113,50,53.77,47.63,136.2,3,100.14
2025-05-03T00:00:00Z,/,246,191,91,42.91,58.04,186.0,8,343.09
2025-05-03T00:00:00Z,/features,101,79,32,49.08,52.11,149.3,4,184.43
2025-05-03T00:00:00Z,/pricing,114,88,32,48.41,51.54,195.9,3,124.98
2025-05-03T00:00:00Z,/blog,114,87,36,44.16,54.53,160.8,4,230.24
2025-05-03T00:00:00Z,/blog/analytics-guide,122,103,42,39.77,58.7,124.8,3,124.96
2025-05-03T00:00:00Z,/signup,81,67,29,44.73,55.42,190.3,3,105.59
2025-05-04T00:00:00Z,/,258,198,106,51.73,49.51,196.4,9,317.4
2025-05-04T00:00:00Z,/features,108,81,38,35.4,64.51,119.8,4,216.77
2025-05-04T00:00:00Z,/pricing,120,93,47,52.36,45.87,97.7,4,137.0
2025-05-04T00:00:00Z,/blog,111,92,38,36.45,64.37,159.5,4,160.39
2025-05-04T00:00:00Z,/blog/analytics-guide,119,106,52,43.74,56.82,138.5,3,153.65
2025-05-04T00:00:00Z,/signup,85,75,35,42.14,58.53,177.7,2,104.04
2025-05-05T00:00:00Z,/,331,281,112,41.91,58.79,126.2,14,654.5
2025-05-05T00:00:00Z,/features,216,163,78,38.14,63.26,182.2,9,290.21
2025-05-05T00:00:00Z,/pricing,188,147,79,36.01,62.88,157.2,6,222.3
2025-05-05T00:00:00Z,/blog,186,161,70,52.13,47.66,94.2,6,297.61
2025-05-05T00:00:00Z,/blog/analytics-guide,166,134,61,35.0,63.36,152.5,6,234.83
2025-05-05T00:00:00Z,/signup,126,98,47,54.01,45.45,86.5,3,130.9
2025-05-06T00:00:00Z,/,363,277,111,42.42,58.02,166.9,17,714.33
2025-05-06T00:00:00Z,/features,184,145,78,36.15,64.95,101.0,6,181.93
2025-05-06T00:00:00Z,/pricing,194,172,78,38.89,62.24,141.3,7,339.19
2025-05-06T00:00:00Z,/blog,185,148,71,54.51,43.83,113.1,5,250.45
2025-05-06T00:00:00Z,/blog/analytics-guide,171,133,46,49.07,52.6,146.0,7,327.41
2025-05-06T00:00:00Z,/signup,120,96,49,39.53,62.33,134.6,3,90.42
2025-05-07T00:00:00Z,/,398,306,115,46.19,53.77,158.3,10,484.8
2025-05-07T00:00:00Z,/features,197,155,56,50.54,48.76,190.9,4,200.61
2025-05-07T00:00:00Z,/pricing,179,143,59,46.88,51.22,116.6,8,387.89
2025-05-07T00:00:00Z,/blog,211,172,65,35.9,65.38,104.0,6,316.39
2025-05-07T00:00:00Z,/blog/analytics-guide,203,155,55,53.98,47.73,184.3,8,243.3
2025-05-07T00:00:00Z,/signup,129,98,43,35.45,63.38,144.6,3,137.09
2025-05-08T00:00:00Z,/,373,325,138,39.51,60.18,80.9,13,675.06
2025-05-08T00:00:00Z,/features,203,160,85,46.53,51.61,84.5,7,287.4
2025-05-08T00:00:00Z,/pricing,195,174,63,49.6,50.5,183.1,8,307.06
2025-05-08T00:00:00Z,/blog,192,159,75,39.9,60.62,159.6,7,353.66
2025-05-08T00:00:00Z,/blog/analytics-guide,193,161,76,53.07,47.07,81.3,6,343.09
2025-05-08T00:00:00Z,/signup,130,103,43,54.56,44.62,100.1,5,239.65
2025-05-09T00:00:00Z,/,413,337,124,36.1,64.46,150.0,11,638.77
2025-05-09T00:00:00Z,/features,175,131,59,43.91,56.78,90.5,6,215.0
2025-05-09T00:00:00Z,/pricing,177,148,79,53.17,46.28,97.8,7,287.62
2025-05-09T00:00:00Z,/blog,180,142,59,54.55,46.95,90.5,7,303.29
2025-05-09T00:00:00Z,/blog/analytics-guide,215,187,76,51.11,50.77,130.9,9,307.68
2025-05-09T00:00:00Z,/signup,128,97,37,44.49,56.98,198.4,2,117.61
2025-05-10T00:00:00Z,/,266,207,88,43.47,56.92,88.8,9,284.07
2025-05-10T00:00:00Z,/features,155,127,53,47.13,53.56,176.3,6,325.77
2025-05-10T00:00:00Z,/pricing,117,96,40,54.55,46.13,95.9,5,156.17
2025-05-10T00:00:00Z,/blog,124,96,43,41.78,58.09,90.8,5,214.94
2025-05-10T00:00:00Z,/blog/analytics-guide,127,101,55,44.98,56.91,113.7,3,128.71
2025-05-10T00:00:00Z,/signup,102,80,41,53.53,46.53,132.3,2,104.21
2025-05-11T00:00:00Z,/,249,205,110,40.39,58.89,146.4,5,154.34
2025-05-11T00:00:00Z,/features,129,114,40,46.08,54.26,92.2,5,247.73
2025-05-11T00:00:00Z,/pricing,110,91,39,51.93,48.08,173.9,2,92.43
2025-05-11T00:00:00Z,/blog,112,88,47,54.23,45.99,85.0,4,235.33
2025-05-11T00:00:00Z,/blog/analytics-guide,129,109,41,36.2,65.48,112.8,3,151.2
2025-05-11T00:00:00Z,/signup,95,83,32,51.81,47.31,99.4,3,96.29
2025-05-12T00:00:00Z,/,414,352,127,54.17,44.21,180.2,16,827.53
2025-05-12T00:00:00Z,/features,163,134,68,41.45,59.05,155.0,7,292.96
2025-05-12T00:00:00Z,/pricing,184,144,53,41.47,56.59,158.5,3,109.15
2025-05-12T00:00:00Z,/blog,172,145,58,47.48,50.7,186.3,5,265.13
2025-05-12T00:00:00Z,/blog/analytics-guide,188,168,82,50.83,50.86,148.3,5,164.21
2025-05-12T00:00:00Z,/signup,119,100,42,53.49,47.59,96.0,3,158.55
2025-05-13T00:00:00Z,/,304,245,121,36.06,64.84,196.9,12,449.68
2025-05-13T00:00:00Z,/features,177,151,58,54.72,46.47,140.3,5,214.16
2025-05-13T00:00:00Z,/pricing,194,171,87,41.1,60.33,193.7,6,236.29
2025-05-13T00:00:00Z,/blog,150,114,56,53.9,44.76,86.9,6,279.75
2025-05-13T00:00:00Z,/blog/analytics-guide,171,150,81,43.48,56.56,167.7,5,227.25
2025-05-13T00:00:00Z,/signup,131,115,56,43.11,57.36,189.3,5,257.12
2025-05-14T00:00:00Z,/,335,269,109,43.18,57.3,161.7,11,499.12
2025-05-14T00:00:00Z,/features,174,138,50,43.26,56.54,185.3,8,250.24
2025-05-14T00:00:00Z,/pricing,192,145,73,48.99,51.25,98.5,4,165.1
2025-05-14T00:00:00Z,/blog,171,150,59,52.48,48.19,121.9,5,230.27
2025-05-14T00:00:00Z,/blog/analytics-guide,184,141,54,37.17,64.67,127.6,6,252.27
2025-05-14T00:00:00Z,/signup,97,77,36,39.25,61.71,93.7,3,139.06
2025-05-15T00:00:00Z,/,305,241,112,36.06,63.16,131.6,12,360.23
2025-05-15T00:00:00Z,/features,164,131,53,52.18,48.48,172.3,4,130.32
2025-05-15T00:00:00Z,/pricing,165,148,57,46.7,51.62,106.3,5,203.19
2025-05-15T00:00:00Z,/blog,193,163,70,54.34,44.05,111.4,5,196.61
2025-05-15T00:00:00Z,/blog/analytics-guide,180,153,63,46.56,54.17,103.9,4,186.51
2025-05-15T00:00:00Z,/signup,111,84,38,47.57,52.62,125.1,5,215.53
2025-05-16T00:00:00Z,/,400,312,141,46.5,53.96,91.9,11,369.12
2025-05-16T00:00:00Z,/features,162,132,69,40.77,60.9,198.7,6,346.41
2025-05-16T00:00:00Z,/pricing,183,141,55,51.78,49.24,83.3,8,470.37
2025-05-16T00:00:00Z,/blog,176,153,53,51.65,46.45,104.4,8,377.08
2025-05-16T00:00:00Z,/blog/analytics-guide,186,154,79,40.9,57.54,164.8,8,346.66
2025-05-16T00:00:00Z,/signup,114,89,46,54.86,46.06,94.0,3,97.12
2025-05-17T00:00:00Z,/,224,199,97,40.16,59.9,153.7,10,430.47
2025-05-17T00:00:00Z,/features,130,98,51,44.21,54.0,151.9,4,171.08
2025-05-17T00:00:00Z,/pricing,138,119,42,40.34,58.83,130.0,4,155.72
2025-05-17T00:00:00Z,/blog,113,86,42,45.63,53.96,101.0,4,135.13
2025-05-17T00:00:00Z,/blog/analytics-guide,117,96,50,41.91,57.92,154.1,5,285.54
2025-05-17T00:00:00Z,/signup,99,86,39,35.81,63.49,84.6,3,155.14
2025-05-18T00:00:00Z,/,287,222,78,45.37,53.19,136.4,6,287.32
2025-05-18T00:00:00Z,/features,118,101,41,47.35,53.94,130.3,3,136.67
2025-05-18T00:00:00Z,/pricing,116,101,48,42.3,59.4,174.4,2,72.24
2025-05-18T00:00:00Z,/blog,126,101,52,47.44,50.68,83.1,2,88.23
2025-05-18T00:00:00Z,/blog/analytics-guide,139,107,46,45.79,55.26,166.7,3,99.01
2025-05-18T00:00:00Z,/signup,82,64,27,36.33,65.55,135.7,2,113.89
2025-05-19T00:00:00Z,/,354,274,136,54.11,46.75,163.4,10,385.93
2025-05-19T00:00:00Z,/features,194,153,76,42.9,58.64,104.3,4,221.57
2025-05-19T00:00:00Z,/pricing,159,131,46,44.58,53.87,84.6,5,162.54
2025-05-19T00:00:00Z,/blog,185,140,61,42.42,58.54,133.0,7,349.2
2025-05-19T00:00:00Z,/blog/analytics-guide,175,156,78,49.5,48.68,81.7,4,223.14
2025-05-19T00:00:00Z,/signup,108,83,36,53.03,45.19,125.6,5,225.84
2025-05-20T00:00:00Z,/,354,268,130,39.31,60.28,125.3,7,300.82
2025-05-20T00:00:00Z,/features,172,133,46,52.95,47.68,195.1,7,359.08
2025-05-20T00:00:00Z,/pricing,185,144,58,48.42,53.43,102.6,7,380.17
2025-05-20T00:00:00Z,/blog,199,150,69,52.14,48.1,164.4,8,411.74
2025-05-20T00:00:00Z,/blog/analytics-guide,186,147,54,42.35,58.94,145.4,5,285.27
2025-05-20T00:00:00Z,/signup,123,102,42,47.79,51.84,149.6,3,178.52
2025-05-21T00:00:00Z,/,360,312,122,53.3,45.36,160.7,8,400.66
2025-05-21T00:00:00Z,/features,184,147,72,42.44,57.43,194.8,6,278.63
2025-05-21T00:00:00Z,/pricing,188,161,76,41.53,57.09,161.8,7,319.21
2025-05-21T00:00:00Z,/blog,157,131,69,39.52,58.56,138.0,4,181.06
2025-05-21T00:00:00Z,/blog/analytics-guide,168,144,62,54.04,45.16,183.6,4,137.76
2025-05-21T00:00:00Z,/signup,103,89,46,39.97,61.65,191.1,4,180.7
2025-05-22T00:00:00Z,/,390,346,181,37.31,63.47,188.1,10,510.08
2025-05-22T00:00:00Z,/features,219,167,74,53.19,47.14,168.5,5,227.69
2025-05-22T00:00:00Z,/pricing,195,153,57,53.16,46.87,152.8,8,297.96
2025-05-22T00:00:00Z,/blog,196,156,71,40.19,59.14,96.3,5,214.16
2025-05-22T00:00:00Z,/blog/analytics-guide,213,166,84,39.41,61.13,142.2,8,257.14
2025-05-22T00:00:00Z,/signup,137,113,56,41.44,57.22,113.2,6,185.39
2025-05-23T00:00:00Z,/,406,360,176,43.83,55.6,101.5,18,756.89
2025-05-23T00:00:00Z,/features,180,140,70,48.13,49.97,153.9,5,267.04
2025-05-23T00:00:00Z,/pricing,212,161,76,54.47,45.51,143.9,6,206.99
2025-05-23T00:00:00Z,/blog,193,171,77,49.37,49.24,180.1,5,236.52
2025-05-23T00:00:00Z,/blog/analytics-guide,185,159,80,45.64,55.08,80.1,7,353.29
2025-05-23T00:00:00Z,/signup,134,107,52,52.66,47.99,184.1,5,208.52
2025-05-24T00:00:00Z,/,283,250,95,43.62,58.34,159.2,6,264.11
2025-05-24T00:00:00Z,/features,133,116,53,38.43,59.93,86.6,3,149.88
2025-05-24T00:00:00Z,/pricing,114,99,47,36.9,64.82,192.4,5,269.88
2025-05-24T00:00:00Z,/blog,122,104,52,46.43,53.95,186.2,5,217.29
2025-05-24T00:00:00Z,/blog/analytics-guide,119,91,49,54.25,46.67,144.5,4,235.75
2025-05-24T00:00:00Z,/signup,100,82,42,52.03,49.85,191.4,4,156.49
2025-05-25T00:00:00Z,/,225,187,90,42.46,58.88,85.4,7,316.22
2025-05-25T00:00:00Z,/features,108,90,33,52.39,47.59,80.0,4,232.57
2025-05-25T00:00:00Z,/pricing,110,92,36,49.08,50.29,113.0,2,70.3
2025-05-25T00:00:00Z,/blog,140,110,57,54.84,45.17,190.3,5,283.11
2025-05-25T00:00:00Z,/blog/analytics-guide,142,112,40,44.71,55.9,189.5,5,174.14
2025-05-25T00:00:00Z,/signup,79,64,23,54.87,43.42,193.0,2,115.87
2025-05-26T00:00:00Z,/,410,324,123,42.25,59.62,113.5,18,773.79
2025-05-26T00:00:00Z,/features,203,176,70,51.88,48.72,161.4,4,179.67
2025-05-26T00:00:00Z,/pricing,189,146,70,51.32,46.78,143.5,8,450.07
2025-05-26T00:00:00Z,/blog,198,155,68,44.06,56.25,128.0,5,178.25
2025-05-26T00:00:00Z,/blog/analytics-guide,179,137,72,47.91,50.27,171.6,7,381.21
2025-05-26T00:00:00Z,/signup,132,117,42,53.55,45.92,157.9,5,156.84
2025-05-27T00:00:00Z,/,317,247,91,48.09,52.95,84.9,9,414.3
2025-05-27T00:00:00Z,/features,199,170,64,51.38,46.96,182.1,4,219.46
2025-05-27T00:00:00Z,/pricing,195,157,64,48.25,53.28,165.3,7,392.64
2025-05-27T00:00:00Z,/blog,182,151,82,40.96,57.07,171.6,4,159.21
2025-05-27T00:00:00Z,/blog/analytics-guide,183,138,56,41.11,57.42,180.4,3,161.52
2025-05-27T00:00:00Z,/signup,108,96,51,44.96,55.6,137.7,4,182.49
2025-05-28T00:00:00Z,/,349,275,137,53.35,48.09,155.2,14,421.51
2025-05-28T00:00:00Z,/features,157,129,64,40.56,59.89,134.5,4,158.39
2025-05-28T00:00:00Z,/pricing,198,151,74,51.62,49.44,144.5,9,306.66
2025-05-28T00:00:00Z,/blog,174,142,74,35.43,66.45,176.7,8,476.43
2025-05-28T00:00:00Z,/blog/analytics-guide,189,163,84,51.42,49.69,171.9,4,156.61
2025-05-28T00:00:00Z,/signup,106,87,39,36.3,63.67,145.8,3,157.27
2025-05-29T00:00:00Z,/,328,272,111,36.32,61.78,116.2,7,299.27
2025-05-29T00:00:00Z,/features,201,152,53,52.16,46.02,92.1,9,371.81
2025-05-29T00:00:00Z,/pricing,196,169,83,54.78,46.01,128.5,8,295.46
2025-05-29T00:00:00Z,/blog,204,171,71,41.2,57.17,80.4,4,134.22
2025-05-29T00:00:00Z,/blog/analytics-guide,198,175,75,50.37,48.25,140.7,8,428.94
2025-05-29T00:00:00Z,/signup,135,103,45,46.04,53.25,171.8,6,204.63
2025-05-30T00:00:00Z,/,350,267,132,53.44,46.69,178.7,10,378.72
2025-05-30T00:00:00Z,/features,185,146,51,49.36,51.01,162.4,7,414.22
2025-05-30T00:00:00Z,/pricing,167,144,77,41.05,60.91,152.2,3,115.4
2025-05-30T00:00:00Z,/blog,206,173,75,35.54,63.99,101.6,7,382.1
2025-05-30T00:00:00Z,/blog/analytics-guide,187,140,56,47.15,51.5,199.9,5,286.87
2025-05-30T00:00:00Z,/signup,136,107,54,51.23,49.56,173.9,5,273.3
2025-05-31T00:00:00Z,/,267,201,89,49.16,51.75,95.9,9,275.0
2025-05-31T00:00:00Z,/features,130,105,53,42.34,56.33,134.4,3,141.23
2025-05-31T00:00:00Z,/pricing,106,94,48,35.28,62.88,164.8,2,90.5
2025-05-31T00:00:00Z,/blog,143,120,61,53.88,47.66,175.5,6,311.21
2025-05-31T00:00:00Z,/blog/analytics-guide,117,95,39,44.71,55.63,92.5,5,297.14
2025-05-31T00:00:00Z,/signup,88,73,32,46.49,53.68,113.3,4,214.75
2025-06-01T00:00:00Z,/,280,248,93,40.77,57.62,114.7,7,294.78
2025-06-01T00:00:00Z,/features,132,101,36,41.4,58.96,97.0,3,167.39
2025-06-01T00:00:00Z,/pricing,130,102,53,45.39,53.13,182.3,3,92.84
2025-06-01T00:00:00Z,/blog,126,110,51,38.68,60.02,124.7,3,92.48
2025-06-01T00:00:00Z,/blog/analytics-guide,151,129,64,52.01,46.45,104.9,5,181.36
2025-06-01T00:00:00Z,/signup,90,70,33,42.27,57.8,194.6,2,72.88
2025-06-02T00:00:00Z,/,409,337,141,36.43,65.51,187.5,19,649.49
2025-06-02T00:00:00Z,/features,164,142,68,35.61,63.94,122.4,6,250.73
2025-06-02T00:00:00Z,/pricing,169,138,70,39.41,62.14,87.6,4,141.97
2025-06-02T00:00:00Z,/blog,175,156,61,51.16,47.84,194.0,5,208.84
2025-06-02T00:00:00Z,/blog/analytics-guide,212,171,75,43.21,56.9,141.4,7,243.55
2025-06-02T00:00:00Z,/signup,116,100,40,42.35,56.13,116.8,4,157.79
2025-06-03T00:00:00Z,/,333,283,137,39.65,59.24,139.0,14,738.54
2025-06-03T00:00:00Z,/features,162,140,69,37.01,61.56,158.8,6,229.46
