date,session_source,session_medium,session_campaign,session_channel_group,sessions,total_users,new_users,page_views,bounce_rate,engagement_rate,engaged_sessions,avg_session_duration,event_count,conversions,total_revenue
2025-04-29T00:00:00Z,google,organic,(not set),Organic Search,474,375,129,1708,50.49,47.86,285,136.4,1464,14,632.25
2025-04-29T00:00:00Z,(direct),(none),(not set),Direct,295,222,75,1025,41.09,59.27,171,179.0,890,11,560.39
2025-04-29T00:00:00Z,google,cpc,brand_awareness,Paid Search,175,156,57,461,49.86,50.55,90,178.8,908,6,355.16
2025-04-29T00:00:00Z,facebook,social,(not set),Organic Social,124,100,41,464,50.06,50.25,73,167.5,389,3,116.04
2025-04-29T00:00:00Z,partner-blog.com,referral,(not set),Referral,88,67,23,303,43.18,55.66,48,119.4,511,3,144.82
2025-04-29T00:00:00Z,mailchimp,email,weekly_newsletter,Email,37,28,12,101,51.85,48.71,20,151.3,186,1,53.28
2025-04-30T00:00:00Z,google,organic,(not set),Organic Search,446,368,135,1683,39.48,62.37,278,159.9,2446,16,689.03
2025-04-30T00:00:00Z,(direct),(none),(not set),Direct,310,266,131,900,45.53,54.4,192,137.9,1609,9,499.96
2025-04-30T00:00:00Z,google,cpc,brand_awareness,Paid Search,182,160,55,581,43.31,54.81,107,183.6,645,5,269.67
2025-04-30T00:00:00Z,facebook,social,(not set),Organic Social,116,92,43,412,38.14,63.65,62,99.4,598,4,210.98
2025-04-30T00:00:00Z,partner-blog.com,referral,(not set),Referral,80,65,29,211,47.69,51.54,42,154.0,353,2,85.53
2025-04-30T00:00:00Z,mailchimp,email,weekly_newsletter,Email,32,27,9,113,41.52,56.96,17,111.2,107,1,52.87
2025-05-01T00:00:00Z,google,organic,(not set),Organic Search,405,306,109,1202,45.1,53.52,208,143.0,2244,13,606.94
2025-05-01T00:00:00Z,(direct),(none),(not set),Direct,324,248,88,919,45.85,55.22,182,158.4,1628,11,530.97
2025-05-01T00:00:00Z,google,cpc,brand_awareness,Paid Search,167,125,44,608,42.91,55.81,106,105.8,830,4,208.92
2025-05-01T00:00:00Z,facebook,social,(not set),Organic Social,107,95,30,352,44.35,54.28,59,124.3,425,4,191.55
2025-05-01T00:00:00Z,partner-blog.com,referral,(not set),Referral,86,74,22,225,43.94,56.49,48,135.6,313,3,121.07
2025-05-01T00:00:00Z,mailchimp,email,weekly_newsletter,Email,34,26,11,115,42.32,56.56,19,198.3,107,1,58.36
2025-05-02T00:00:00Z,google,organic,(not set),Organic Search,473,389,185,1646,45.51,55.88,269,137.4,2671,18,952.48
2025-05-02T00:00:00Z,(direct),(none),(not set),Direct,306,246,93,1026,45.75,52.55,161,145.5,1619,9,537.05
2025-05-02T00:00:00Z,google,cpc,brand_awareness,Paid Search,176,157,59,649,51.15,49.87,96,111.9,796,6,188.15
2025-05-02T00:00:00Z,facebook,social,(not set),Organic Social,115,88,32,369,46.49,53.57,65,126.1,556,3,179.16
2025-05-02T00:00:00Z,partner-blog.com,referral,(not set),Referral,83,66,30,273,42.2,59.07,50,130.5,416,3,142.53
2025-05-02T00:00:00Z,mailchimp,email,weekly_newsletter,Email,33,28,12,116,44.64,57.22,16,176.1,175,1,51.64
2025-05-03T00:00:00Z,google,organic,(not set),Organic Search,307,270,81,958,48.15,52.09,189,199.2,1144,10,505.59
2025-05-03T00:00:00Z,(direct),(none),(not set),Direct,198,153,54,574,40.34,58.76,103,123.0,1058,6,349.96
2025-05-03T00:00:00Z,google,cpc,brand_awareness,Paid Search,127,106,41,343,43.54,57.83,63,131.8,709,4,171.67
2025-05-03T00:00:00Z,facebook,social,(not set),Organic Social,78,68,29,264,46.44,54.34,42,142.7,275,2,79.15
2025-05-03T00:00:00Z,partner-blog.com,referral,(not set),Referral,59,52,23,176,49.0,50.46,31,192.5,212,2,70.8
2025-05-03T00:00:00Z,mailchimp,email,weekly_newsletter,Email,23,19,5,82,40.94,60.26,14,181.4,73,0,0.0
2025-05-04T00:00:00Z,google,organic,(not set),Organic Search,346,285,121,1069,38.87,61.78,203,104.4,1340,13,751.16
2025-05-04T00:00:00Z,(direct),(none),(not set),Direct,194,156,72,579,41.27,60.5,110,105.0,1030,5,165.85
2025-05-04T00:00:00Z,google,cpc,brand_awareness,Paid Search,121,92,34,442,44.49,56.92,68,99.9,656,3,153.42
2025-05-04T00:00:00Z,facebook,social,(not set),Organic Social,87,73,25,329,47.96,53.92,45,133.6,273,2,109.21
2025-05-04T00:00:00Z,partner-blog.com,referral,(not set),Referral,65,57,23,216,39.43,61.75,33,103.4,207,2,73.34
2025-05-04T00:00:00Z,mailchimp,email,weekly_newsletter,Email,30,23,8,105,39.18,61.17,19,190.9,96,1,35.93
2025-05-05T00:00:00Z,google,organic,(not set),Organic Search,473,406,170,1422,51.94,47.43,299,189.2,1928,14,818.2
2025-05-05T00:00:00Z,(direct),(none),(not set),Direct,320,284,108,909,39.84,61.1,194,154.9,1122,10,495.16
2025-05-05T00:00:00Z,google,cpc,brand_awareness,Paid Search,209,164,66,537,47.27,53.35,135,92.2,1059,7,289.85
2025-05-05T00:00:00Z,facebook,social,(not set),Organic Social,124,103,40,338,46.82,52.38,74,162.8,618,3,144.51
2025-05-05T00:00:00Z,partner-blog.com,referral,(not set),Referral,92,70,31,246,39.49,59.31,47,112.0,348,3,108.15
2025-05-05T00:00:00Z,mailchimp,email,weekly_newsletter,Email,40,34,12,102,40.91,60.82,22,126.4,120,1,57.21
2025-05-06T00:00:00Z,google,organic,(not set),Organic Search,513,402,161,1498,40.2,60.21,268,179.9,2556,17,678.41
2025-05-06T00:00:00Z,(direct),(none),(not set),Direct,284,217,94,914,47.06,52.58,167,116.8,960,10,340.42
