date,first_user_source,first_user_medium,first_user_campaign,first_user_channel_group,new_users,total_users,sessions,engaged_sessions,engagement_rate,event_count,conversions,total_revenue
2025-04-29T00:00:00Z,google,organic,(not set),Organic Search,154,193,214,131,61.21,839,6,323.16
2025-04-29T00:00:00Z,(direct),(none),(not set),Direct,75,75,82,42,51.22,387,3,115.12
2025-04-29T00:00:00Z,google,cpc,brand_awareness,Paid Search,53,59,87,48,55.17,424,2,118.22
2025-04-29T00:00:00Z,facebook,social,(not set),Organic Social,29,37,41,19,46.34,158,1,39.41
2025-04-29T00:00:00Z,partner-blog.com,referral,(not set),Referral,24,27,32,18,56.25,112,1,30.05
2025-04-29T00:00:00Z,mailchimp,email,weekly_newsletter,Email,11,12,16,9,56.25,69,0,0.0
2025-04-30T00:00:00Z,google,organic,(not set),Organic Search,141,157,194,96,49.48,803,7,418.47
2025-04-30T00:00:00Z,(direct),(none),(not set),Direct,92,118,156,78,50.0,644,6,314.04
2025-04-30T00:00:00Z,google,cpc,brand_awareness,Paid Search,49,57,71,44,61.97,253,3,144.64
2025-04-30T00:00:00Z,facebook,social,(not set),Organic Social,37,44,57,33,57.89,253,2,110.3
2025-04-30T00:00:00Z,partner-blog.com,referral,(not set),Referral,29,36,47,24,51.06,182,1,51.97
2025-04-30T00:00:00Z,mailchimp,email,weekly_newsletter,Email,10,10,13,6,46.15,42,0,0.0
2025-05-01T00:00:00Z,google,organic,(not set),Organic Search,113,134,189,110,58.2,937,6,212.81
2025-05-01T00:00:00Z,(direct),(none),(not set),Direct,64,77,113,51,45.13,384,4,226.29
2025-05-01T00:00:00Z,google,cpc,brand_awareness,Paid Search,42,45,53,32,60.38,209,1,49.41
2025-05-01T00:00:00Z,facebook,social,(not set),Organic Social,27,33,33,19,57.58,117,1,43.11
2025-05-01T00:00:00Z,partner-blog.com,referral,(not set),Referral,20,22,32,16,50.0,107,1,41.02
2025-05-01T00:00:00Z,mailchimp,email,weekly_newsletter,Email,10,10,10,5,50.0,38,0,0.0
2025-05-02T00:00:00Z,google,organic,(not set),Organic Search,170,204,236,120,50.85,775,9,329.68
2025-05-02T00:00:00Z,(direct),(none),(not set),Direct,94,95,140,87,62.14,675,5,214.08
2025-05-02T00:00:00Z,google,cpc,brand_awareness,Paid Search,61,78,114,66,57.89,521,3,127.47
2025-05-02T00:00:00Z,facebook,social,(not set),Organic Social,35,38,52,28,53.85,244,1,51.23
2025-05-02T00:00:00Z,partner-blog.com,referral,(not set),Referral,32,40,51,32,62.75,209,1,37.29
2025-05-02T00:00:00Z,mailchimp,email,weekly_newsletter,Email,10,11,16,9,56.25,50,0,0.0
2025-05-03T00:00:00Z,google,organic,(not set),Organic Search,93,105,105,54,51.43,340,4,203.28
2025-05-03T00:00:00Z,(direct),(none),(not set),Direct,57,60,62,37,59.68,198,1,38.98
2025-05-03T00:00:00Z,google,cpc,brand_awareness,Paid Search,33,41,58,33,56.9,252,1,46.9
2025-05-03T00:00:00Z,facebook,social,(not set),Organic Social,24,25,29,14,48.28,130,1,48.48
2025-05-03T00:00:00Z,partner-blog.com,referral,(not set),Referral,15,15,21,10,47.62,68,0,0.0
2025-05-03T00:00:00Z,mailchimp,email,weekly_newsletter,Email,6,7,7,4,57.14,24,0,0.0
2025-05-04T00:00:00Z,google,organic,(not set),Organic Search,129,149,217,98,45.16,954,8,427.6
2025-05-04T00:00:00Z,(direct),(none),(not set),Direct,59,61,78,44,56.41,384,1,33.17
2025-05-04T00:00:00Z,google,cpc,brand_awareness,Paid Search,47,58,83,51,61.45,394,2,99.29
2025-05-04T00:00:00Z,facebook,social,(not set),Organic Social,29,33,35,18,51.43,148,1,42.05
2025-05-04T00:00:00Z,partner-blog.com,referral,(not set),Referral,18,22,29,13,44.83,114,0,0.0
2025-05-04T00:00:00Z,mailchimp,email,weekly_newsletter,Email,7,8,9,5,55.56,42,0,0.0
2025-05-05T00:00:00Z,google,organic,(not set),Organic Search,174,180,232,116,50.0,849,9,311.8
2025-05-05T00:00:00Z,(direct),(none),(not set),Direct,91,99,101,64,63.37,427,3,134.15
2025-05-05T00:00:00Z,google,cpc,brand_awareness,Paid Search,65,71,98,50,51.02,337,2,64.09
2025-05-05T00:00:00Z,facebook,social,(not set),Organic Social,42,47,59,27,45.76,203,1,39.96
2025-05-05T00:00:00Z,partner-blog.com,referral,(not set),Referral,28,29,39,21,53.85,194,1,59.43
2025-05-05T00:00:00Z,mailchimp,email,weekly_newsletter,Email,10,12,14,8,57.14,59,0,0.0
2025-05-06T00:00:00Z,google,organic,(not set),Organic Search,136,156,216,116,53.7,681,8,351.3
2025-05-06T00:00:00Z,(direct),(none),(not set),Direct,108,136,179,113,63.13,688,6,252.86
2025-05-06T00:00:00Z,google,cpc,brand_awareness,Paid Search,64,65,76,38,50.0,327,3,144.48
2025-05-06T00:00:00Z,facebook,social,(not set),Organic Social,35,44,61,38,62.3,274,2,87.02
2025-05-06T00:00:00Z,partner-blog.com,referral,(not set),Referral,22,27,28,13,46.43,98,1,52.49
2025-05-06T00:00:00Z,mailchimp,email,weekly_newsletter,Email,9,10,10,6,60.0,39,0,0.0
2025-05-07T00:00:00Z,google,organic,(not set),Organic Search,189,218,267,164,61.42,823,13,592.29
2025-05-07T00:00:00Z,(direct),(none),(not set),Direct,101,123,157,86,54.78,669,3,116.21
2025-05-07T00:00:00Z,google,cpc,brand_awareness,Paid Search,61,66,93,50,53.76,357,3,94.91
2025-05-07T00:00:00Z,facebook,social,(not set),Organic Social,42,43,60,32,53.33,266,1,53.36
2025-05-07T00:00:00Z,partner-blog.com,referral,(not set),Referral,34,41,43,22,51.16,167,1,47.71
2025-05-07T00:00:00Z,mailchimp,email,weekly_newsletter,Email,13,13,15,7,46.67,65,0,0.0
2025-05-08T00:00:00Z,google,organic,(not set),Organic Search,171,171,174,91,52.3,574,5,208.7
2025-05-08T00:00:00Z,(direct),(none),(not set),Direct,81,98,135,73,54.07,514,5,271.84
2025-05-08T00:00:00Z,google,cpc,brand_awareness,Paid Search,50,53,63,37,58.73,287,1,46.06
2025-05-08T00:00:00Z,facebook,social,(not set),Organic Social,48,52,59,27,45.76,294,2,81.92
2025-05-08T00:00:00Z,partner-blog.com,referral,(not set),Referral,32,35,49,29,59.18,175,1,46.63
2025-05-08T00:00:00Z,mailchimp,email,weekly_newsletter,Email,14,16,18,9,50.0,57,0,0.0
2025-05-09T00:00:00Z,google,organic,(not set),Organic Search,153,161,183,115,62.84,745,8,263.68
2025-05-09T00:00:00Z,(direct),(none),(not set),Direct,95,109,147,76,51.7,614,4,234.93
2025-05-09T00:00:00Z,google,cpc,brand_awareness,Paid Search,56,61,72,35,48.61,248,1,59.54
2025-05-09T00:00:00Z,facebook,social,(not set),Organic Social,36,37,39,23,58.97,171,1,31.22
2025-05-09T00:00:00Z,partner-blog.com,referral,(not set),Referral,28,28,31,17,54.84,112,1,43.32
2025-05-09T00:00:00Z,mailchimp,email,weekly_newsletter,Email,13,14,19,9,47.37,59,0,0.0
2025-05-10T00:00:00Z,google,organic,(not set),Organic Search,129,137,142,91,64.08,499,5,215.07
2025-05-10T00:00:00Z,(direct),(none),(not set),Direct,57,63,63,36,57.14,246,2,99.46
2025-05-10T00:00:00Z,google,cpc,brand_awareness,Paid Search,47,57,65,39,60.0,275,2,117.79
2025-05-10T00:00:00Z,facebook,social,(not set),Organic Social,30,37,38,18,47.37,128,1,50.88
2025-05-10T00:00:00Z,partner-blog.com,referral,(not set),Referral,17,17,21,10,47.62,73,0,0.0
2025-05-10T00:00:00Z,mailchimp,email,weekly_newsletter,Email,8,8,11,5,45.45,42,0,0.0
2025-05-11T00:00:00Z,google,organic,(not set),Organic Search,115,117,163,75,46.01,688,5,165.27
2025-05-11T00:00:00Z,(direct),(none),(not set),Direct,53,53,75,39,52.0,317,2,111.87
2025-05-11T00:00:00Z,google,cpc,brand_awareness,Paid Search,43,51,62,33,53.23,239,2,66.08
2025-05-11T00:00:00Z,facebook,social,(not set),Organic Social,27,32,32,17,53.12,133,0,0.0
2025-05-11T00:00:00Z,partner-blog.com,referral,(not set),Referral,19,22,31,19,61.29,100,1,40.66
2025-05-11T00:00:00Z,mailchimp,email,weekly_newsletter,Email,7,8,8,3,37.5,24,0,0.0
2025-05-12T00:00:00Z,google,organic,(not set),Organic Search,181,201,271,174,64.21,856,12,675.36
2025-05-12T00:00:00Z,(direct),(none),(not set),Direct,90,101,135,74,54.81,548,6,285.49
2025-05-12T00:00:00Z,google,cpc,brand_awareness,Paid Search,68,83,121,75,61.98,389,4,215.7
2025-05-12T00:00:00Z,facebook,social,(not set),Organic Social,47,50,55,32,58.18,241,1,35.05
2025-05-12T00:00:00Z,partner-blog.com,referral,(not set),Referral,29,29,40,21,52.5,153,1,42.93
2025-05-12T00:00:00Z,mailchimp,email,weekly_newsletter,Email,10,10,10,5,50.0,40,0,0.0
2025-05-13T00:00:00Z,google,organic,(not set),Organic Search,140,154,186,95,51.08,575,4,126.26
2025-05-13T00:00:00Z,(direct),(none),(not set),Direct,105,111,137,86,62.77,438,3,175.35
2025-05-13T00:00:00Z,google,cpc,brand_awareness,Paid Search,54,58,60,27,45.0,246,2,79.87
2025-05-13T00:00:00Z,facebook,social,(not set),Organic Social,42,46,63,35,55.56,235,2,72.6
2025-05-13T00:00:00Z,partner-blog.com,referral,(not set),Referral,25,31,33,19,57.58,106,1,57.37
2025-05-13T00:00:00Z,mailchimp,email,weekly_newsletter,Email,12,12,16,10,62.5,50,0,0.0
2025-05-14T00:00:00Z,google,organic,(not set),Organic Search,163,188,257,131,50.97,858,9,386.11
2025-05-14T00:00:00Z,(direct),(none),(not set),Direct,92,102,133,70,52.63,412,6,257.24
2025-05-14T00:00:00Z,google,cpc,brand_awareness,Paid Search,63,70,95,50,52.63,345,2,73.86
2025-05-14T00:00:00Z,facebook,social,(not set),Organic Social,39,40,42,23,54.76,158,1,57.5
2025-05-14T00:00:00Z,partner-blog.com,referral,(not set),Referral,28,29,33,15,45.45,100,0,0.0
2025-05-14T00:00:00Z,mailchimp,email,weekly_newsletter,Email,9,10,12,7,58.33,49,0,0.0
2025-05-15T00:00:00Z,google,organic,(not set),Organic Search,173,197,271,175,64.58,1251,11,408.08
2025-05-15T00:00:00Z,(direct),(none),(not set),Direct,107,112,161,96,59.63,618,3,145.07
2025-05-15T00:00:00Z,google,cpc,brand_awareness,Paid Search,46,57,59,35,59.32,248,2,115.41
2025-05-15T00:00:00Z,facebook,social,(not set),Organic Social,34,41,48,31,64.58,199,1,37.57
2025-05-15T00:00:00Z,partner-blog.com,referral,(not set),Referral,25,27,29,13,44.83,134,1,35.77
2025-05-15T00:00:00Z,mailchimp,email,weekly_newsletter,Email,11,13,17,8,47.06,78,0,0.0
2025-05-16T00:00:00Z,google,organic,(not set),Organic Search,117,146,190,91,47.89,849,8,286.63
2025-05-16T00:00:00Z,(direct),(none),(not set),Direct,94,102,118,65,55.08,359,3,108.24
2025-05-16T00:00:00Z,google,cpc,brand_awareness,Paid Search,49,58,71,36,50.7,226,3,140.49
2025-05-16T00:00:00Z,facebook,social,(not set),Organic Social,36,45,56,27,48.21,169,1,41.81
2025-05-16T00:00:00Z,partner-blog.com,referral,(not set),Referral,24,27,28,13,46.43,138,0,0.0
2025-05-16T00:00:00Z,mailchimp,email,weekly_newsletter,Email,10,11,14,7,50.0,64,0,0.0
2025-05-17T00:00:00Z,google,organic,(not set),Organic Search,96,110,120,75,62.5,469,4,148.72
2025-05-17T00:00:00Z,(direct),(none),(not set),Direct,62,75,82,39,47.56,256,1,47.33
2025-05-17T00:00:00Z,google,cpc,brand_awareness,Paid Search,37,44,53,26,49.06,177,1,49.24
2025-05-17T00:00:00Z,facebook,social,(not set),Organic Social,28,35,50,31,62.0,174,2,64.19
2025-05-17T00:00:00Z,partner-blog.com,referral,(not set),Referral,19,22,26,14,53.85,102,0,0.0
2025-05-17T00:00:00Z,mailchimp,email,weekly_newsletter,Email,8,10,12,7,58.33,50,0,0.0
2025-05-18T00:00:00Z,google,organic,(not set),Organic Search,106,124,139,72,51.8,479,6,205.28
2025-05-18T00:00:00Z,(direct),(none),(not set),Direct,65,79,102,59,57.84,347,2,76.53
2025-05-18T00:00:00Z,google,cpc,brand_awareness,Paid Search,38,45,56,31,55.36,254,2,73.93
2025-05-18T00:00:00Z,facebook,social,(not set),Organic Social,26,32,40,22,55.0,132,1,52.63
2025-05-18T00:00:00Z,partner-blog.com,referral,(not set),Referral,20,25,36,16,44.44,168,1,48.81
2025-05-18T00:00:00Z,mailchimp,email,weekly_newsletter,Email,7,7,9,5,55.56,35,0,0.0
2025-05-19T00:00:00Z,google,organic,(not set),Organic Search,133,137,199,105,52.76,820,7,356.97
2025-05-19T00:00:00Z,(direct),(none),(not set),Direct,88,110,123,58,47.15,601,5,164.56
2025-05-19T00:00:00Z,google,cpc,brand_awareness,Paid Search,47,59,72,39,54.17,326,2,119.27
2025-05-19T00:00:00Z,facebook,social,(not set),Organic Social,36,40,51,27,52.94,155,1,50.15
2025-05-19T00:00:00Z,partner-blog.com,referral,(not set),Referral,25,27,28,14,50.0,93,1,50.32
2025-05-19T00:00:00Z,mailchimp,email,weekly_newsletter,Email,13,13,19,12,63.16,64,0,0.0
2025-05-20T00:00:00Z,google,organic,(not set),Organic Search,134,167,183,100,54.64,551,7,379.43
