id,number,amount_due,amount_paid,amount_remaining,subtotal,total,currency,status,paid,customer,subscription,collection_method,attempt_count,due_date,period_start,period_end,created
in_8761bfa73ec44e168768cb7f,INV-000001,2900,2900,0,2900,2900,usd,paid,True,cus_c76fcf6b1d2c428483896adf,sub_cff426386b3643c7903b0b8d,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T09:45:00Z
in_0655e962ea7f4e28895a447e,INV-000002,4900,4900,0,4900,4900,usd,paid,True,cus_d90c162e73e7402d87bb675c,sub_7611c67f6c5f4b9795f01810,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T11:24:00Z
in_a8d6fced81234fb699dec344,INV-000003,2900,2900,0,2900,2900,usd,paid,True,cus_47e70704829c4bf980971c55,sub_1ecb65291fa74fc395a66217,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T14:03:00Z
in_98ea6092d6d64005bed3c28a,INV-000004,4900,4900,0,4900,4900,usd,paid,True,cus_3d8f4a55fcdb405cb47cadfe,sub_d15390b1bc4d4dc89b00d394,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T13:19:00Z
in_c289b85b0304435290ebd560,INV-000005,3900,3900,0,3900,3900,usd,paid,True,cus_beaa9024ec764d6aa9de0feb,sub_014a3120664d473a9218e8f2,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T12:27:00Z
in_15463080afc742448b592359,INV-000006,2900,2900,0,2900,2900,usd,paid,True,cus_faf7779ea9fc46b3a05336cc,sub_8b05cc1c1eb3456688f4de10,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T17:34:00Z
in_771f2276d0824928b9744b20,INV-000007,2900,2900,0,2900,2900,usd,paid,True,cus_57548411b4394810ba611459,sub_4d8d91f908cb41f0b78c700e,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T15:11:00Z
in_7b51c7ba1fdd4b32a5691b51,INV-000008,4900,4900,0,4900,4900,usd,paid,True,cus_7c0d58255cf64bd8b58500c2,sub_d958170dbc584a0383a7d028,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T14:17:00Z
in_52b210d4017f4f2e8b1ca9af,INV-000009,14900,14900,0,14900,14900,usd,paid,True,cus_fade5f9a5dbf4cce807eec27,sub_3023ff0623b4420ca9cc809e,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T16:03:00Z
in_736b2acf3ecc45818cfc9f0a,INV-000010,7900,7900,0,7900,7900,usd,paid,True,cus_46c6cd8e2de345bb9df777d9,sub_a03a22860a064786a56859f7,charge_automatically,1,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,2025-04-29T11:12:00Z
in_5ef9d4bc39c2408d87a3a46d,INV-000011,4900,4900,0,4900,4900,usd,paid,True,cus_55a76dd59ba84174a32e2a21,sub_6ab5726968144f9a9c6c2767,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T16:13:00Z
in_ff8f6c81c13148169d465f14,INV-000012,2900,2900,0,2900,2900,usd,paid,True,cus_b09d78f637ab47bb8c7c0b13,sub_3a99260a36fd4f3eba869317,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T17:00:00Z
