id,customer,status,amount,currency,interval,cancel_at_period_end,canceled_at,cancel_at,trial_start,trial_end,current_period_start,current_period_end,description,default_payment_method,latest_invoice,start_date,created
sub_5be9411011c840ff81ae184b,cus_e8ae5495b21442a2832b18b1,active,2900,usd,month,False,,,,,2026-04-24T00:00:00Z,2026-05-24T00:00:00Z,Starter Plan,pm_20c3e64d68124781bb0d1044,in_ab39688534174cc28471b0bf,2025-04-29T00:00:00Z,2025-04-29T09:45:00Z
sub_b266fb08ab974863b013d828,cus_2306be93feec4a13b0987c07,canceled,4900,usd,month,False,2026-01-08T12:32:00Z,,,,2025-12-25T00:00:00Z,2026-01-24T00:00:00Z,Pro Plan,pm_3b4edadbc7b3461c940b5dbf,in_5906a21e6b654c0694aa4ac7,2025-04-29T00:00:00Z,2025-04-29T11:24:00Z
sub_040403d1781a41b495dd5faf,cus_2f0cdf8a3d0d40708bc73d67,canceled,2900,usd,month,False,2025-12-18T18:29:00Z,,,,2025-11-25T00:00:00Z,2025-12-25T00:00:00Z,Starter Plan,pm_cd45c6cda23a41fda9e9e077,in_b90696f748044926ad4e7e89,2025-04-29T00:00:00Z,2025-04-29T14:03:00Z
sub_8a8cd2abc62a4f95a7f38748,cus_03212eff5b9b452c8065dc14,canceled,4900,usd,month,False,2025-06-16T03:09:00Z,,,,2025-05-29T00:00:00Z,2025-06-28T00:00:00Z,Pro Plan,pm_b3611f661aa64db6a58c7b6f,in_16f075c7359d4ac2975dd6df,2025-04-29T00:00:00Z,2025-04-29T13:19:00Z
sub_20327b10369448ec8eb54e92,cus_7779b7d8f9ef467288c7dcce,canceled,3900,usd,month,False,2025-06-24T03:10:00Z,,,,2025-05-29T00:00:00Z,2025-06-28T00:00:00Z,Growth Plan,pm_cdb1fe531aea4ac8b98ea180,in_95cc51826105409dbf69e960,2025-04-29T00:00:00Z,2025-04-29T12:27:00Z
sub_58fc5332317b4ba282b6ee2d,cus_a3e8b02fbf43465fba5c90fa,canceled,2900,usd,month,False,2025-10-18T15:43:00Z,,,,2025-09-26T00:00:00Z,2025-10-26T00:00:00Z,Starter Plan,pm_eaa457c6d21446209109de69,in_b5bc315e04264cf094f347b9,2025-04-29T00:00:00Z,2025-04-29T17:34:00Z
sub_93459da8cdf6495fa76324ca,cus_9e65f8c8903d45a3aef18146,canceled,2900,usd,month,False,2025-05-12T01:37:00Z,,,,2025-04-29T00:00:00Z,2025-05-29T00:00:00Z,Starter Plan,pm_add8e48c131e4ceea7b3ee67,in_120128d0ef624407b85c2a9d,2025-04-29T00:00:00Z,2025-04-29T15:11:00Z
sub_9ffc0a4a22ab46a6b527faa7,cus_ae9045d8aaad4dbfa7495e16,active,4900,usd,month,False,,,,,2026-04-24T00:00:00Z,2026-05-24T00:00:00Z,Pro Plan,pm_db30e08e717444adb226a034,in_13dd3f1cb12a4f2e871891e7,2025-04-29T00:00:00Z,2025-04-29T14:17:00Z
sub_ea51dec0f1c040ebaedab621,cus_ef85aed76b6249f5a60910b5,canceled,14900,usd,month,False,2026-03-04T16:22:00Z,,,,2026-02-23T00:00:00Z,2026-03-25T00:00:00Z,Enterprise Plan,pm_62c30b7c188c4d69aa2eb09a,in_43a1521c1d514594b39e391d,2025-04-29T00:00:00Z,2025-04-29T16:03:00Z
sub_e68cce8568184aeca0707172,cus_c0b10655a2f9470cacc4d3c7,active,7900,usd,month,False,,,,,2026-04-24T00:00:00Z,2026-05-24T00:00:00Z,Team Plan,pm_ff9b8f6482a74593afd0c980,in_7ec2ff6889104bca9639ff99,2025-04-29T00:00:00Z,2025-04-29T11:12:00Z
sub_82d05d3733634e0cb50ff2e8,cus_509fe8322cd7491d8ce551a7,active,4900,usd,month,False,,,,,2026-04-25T00:00:00Z,2026-05-25T00:00:00Z,Pro Plan,pm_613bc4acb581453e91f69c9d,in_d277647c429644daa64ccc2b,2025-04-30T00:00:00Z,2025-04-30T16:13:00Z
sub_5285147707f9494a88b614d7,cus_dc93b24d72b64958a24ce5d1,active,2900,usd,month,False,,,,,2026-04-25T00:00:00Z,2026-05-25T00:00:00Z,Starter Plan,pm_2ababa4153c744649fad326c,in_9baa9cbdb6f144c5bb253db0,2025-04-30T00:00:00Z,2025-04-30T17:00:00Z
sub_619dd63f8a6c4d7595d13dc5,cus_00b607f1b6d143f9b96e985c,active,2900,usd,month,False,,,,,2026-04-25T00:00:00Z,2026-05-25T00:00:00Z,Starter Plan,pm_4607fcaf0b4b40419abc7466,in_560f9f1fd7f24ad58adfe0b9,2025-04-30T00:00:00Z,2025-04-30T21:01:00Z
sub_ce39bb1e669a409a83b47a85,cus_6a7aafa21a444add8b9d0e64,active,4900,usd,month,False,,,,,2026-04-25T00:00:00Z,2026-05-25T00:00:00Z,Pro Plan,pm_d9500b29cd004f97b3db0fc7,in_f08a77a8f2c4495ab8f6be64,2025-04-30T00:00:00Z,2025-04-30T08:08:00Z
sub_c5c2334a0867466c9317db1f,cus_0921c3cbee6e49c08d48faef,active,3900,usd,month,False,,,,,2026-04-25T00:00:00Z,2026-05-25T00:00:00Z,Growth Plan,pm_f1ddea3efeb140499a2f3bc2,in_1b9b287fe88e409d908bda69,2025-04-30T00:00:00Z,2025-04-30T09:28:00Z
sub_f83ff575a24f447f9900268f,cus_a6076bc57bb445ae8c605ff1,canceled,14900,usd,month,False,2025-06-09T16:21:00Z,,,,2025-05-30T00:00:00Z,2025-06-29T00:00:00Z,Enterprise Plan,pm_7883d72ea7e84b2bae6a54ea,in_e3a069a41899407ca0086cb7,2025-04-30T00:00:00Z,2025-04-30T08:03:00Z
sub_1d5f4101fa4946948bd5db20,cus_06d73d445e8b4785b8c4735f,canceled,7900,usd,month,False,2025-09-20T00:55:00Z,,,,2025-08-28T00:00:00Z,2025-09-27T00:00:00Z,Team Plan,pm_ea822e1fb1cd4cb1a235a16a,in_806408d5acc74e1ead20a0a3,2025-04-30T00:00:00Z,2025-04-30T15:04:00Z
sub_b85a499a850245d2ac3027a8,cus_e5c1966770584128a13b7cba,active,4900,usd,month,False,,,,,2026-04-25T00:00:00Z,2026-05-25T00:00:00Z,Pro Plan,pm_ea10fb826ab649bbb7764bd1,in_c4efdc52b49846259ebafe13,2025-04-30T00:00:00Z,2025-04-30T17:35:00Z
sub_8b168c1b58d444759df69a65,cus_5a73abcaa8404fdd8072367d,canceled,3900,usd,month,False,2025-06-15T20:06:00Z,,,,2025-05-31T00:00:00Z,2025-06-30T00:00:00Z,Growth Plan,pm_edacfcc3cc704dc0be475abf,in_15882293b08243998fa3da57,2025-05-01T00:00:00Z,2025-05-01T19:46:00Z
sub_754fe09ca86a44eeb12da708,cus_0a72bedf42de4979b53b557b,canceled,2900,usd,month,False,2025-12-23T13:11:00Z,,,,2025-11-27T00:00:00Z,2025-12-27T00:00:00Z,Starter Plan,pm_c835ae56fe564352b6ed9d44,in_38adf2f3f61a47c59f548610,2025-05-01T00:00:00Z,2025-05-01T13:41:00Z
sub_44a5167a18df416eb0eff8cf,cus_5a0e672b31b94af499bd7acf,active,3900,usd,month,False,,,,,2026-04-26T00:00:00Z,2026-05-26T00:00:00Z,Growth Plan,pm_3ffca0b7d0de478196ffe7b8,in_23dbc4e5ff2941678fa59389,2025-05-01T00:00:00Z,2025-05-01T10:27:00Z
sub_9c98edf4be3e4703a7ee2f8f,cus_875afda25984451eb999b3a7,canceled,4900,usd,month,False,2025-05-13T07:01:00Z,,,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,Pro Plan,pm_073b2f80ecf540379f94fad9,in_34e0d37aa81c4c8482f9e3cb,2025-05-01T00:00:00Z,2025-05-01T13:59:00Z
sub_5549df853bc84664b3dbded2,cus_01f20f341aea42458fdeab51,canceled,2900,usd,month,False,2025-10-11T04:40:00Z,,,,2025-09-28T00:00:00Z,2025-10-28T00:00:00Z,Starter Plan,pm_0b1a3c5b5241475b8b216edf,in_3cc1fead0a614a58a149aba5,2025-05-01T00:00:00Z,2025-05-01T18:35:00Z
sub_cb3c4fbfa8fd4e0cb9ed70f2,cus_78d64bea772940cc9d4818a7,canceled,2900,usd,month,False,2026-03-12T03:57:00Z,,,,2026-02-25T00:00:00Z,2026-03-27T00:00:00Z,Starter Plan,pm_73a6beb077274548b8045012,in_13bafe5cc2b1444aa28b5f16,2025-05-01T00:00:00Z,2025-05-01T17:09:00Z
sub_437caa1c94a544d5a02d6438,cus_75b3780ed34d4a5f998c6cb8,canceled,2900,usd,month,False,2025-10-03T10:02:00Z,,,,2025-09-28T00:00:00Z,2025-10-28T00:00:00Z,Starter Plan,pm_309076dc9dc5405b90c6c1de,in_894e80b8a8c147ce8a8a3cb2,2025-05-01T00:00:00Z,2025-05-01T08:05:00Z
sub_49209c84b125468b8e46f109,cus_3d2da44e2a924841aebd98e9,active,7900,usd,month,False,,,,,2026-04-26T00:00:00Z,2026-05-26T00:00:00Z,Team Plan,pm_0d8877ebfe3b45ffaac39ca1,in_91667e4b83c748178a4179cb,2025-05-01T00:00:00Z,2025-05-01T08:31:00Z
sub_dca6834ccd944bc5940be2d0,cus_c8555560ad0249bf9f1b1a36,active,2900,usd,month,False,,,,,2026-04-27T00:00:00Z,2026-05-27T00:00:00Z,Starter Plan,pm_2697ff1074784a8aa28aac33,in_e1faad7649cb4110bca77197,2025-05-02T00:00:00Z,2025-05-02T14:00:00Z
sub_dfd3c511646347b4a0f80d5e,cus_201ae0c2a19d49ab99362be5,canceled,3900,usd,month,False,2026-02-24T06:41:00Z,,,,2026-01-27T00:00:00Z,2026-02-26T00:00:00Z,Growth Plan,pm_e78b2ccde1ac4509a23ce99c,in_38aa2b4842f346ad8adaae0e,2025-05-02T00:00:00Z,2025-05-02T19:43:00Z
sub_26b2db4c28384292a3922fef,cus_1af164bb01b14bd6bd1e06eb,canceled,4900,usd,month,False,2026-02-21T05:27:00Z,,,,2026-01-27T00:00:00Z,2026-02-26T00:00:00Z,Pro Plan,pm_18c2af29a8b647cea92072b6,in_3a1081d41f0f4b3ead8ceade,2025-05-02T00:00:00Z,2025-05-02T11:12:00Z
sub_e4dbf832ba68412caf2c3bd5,cus_bb8770bc33204b38a13b502e,canceled,3900,usd,month,False,2025-05-17T13:38:00Z,,,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,Growth Plan,pm_5f13907dc3e544b38151a160,in_a55de86e3f284638a65644a0,2025-05-02T00:00:00Z,2025-05-02T14:29:00Z
sub_12dd963e707f4d4a90a5f0af,cus_b9d2686b2791406a98abc99a,active,2900,usd,month,False,,,,,2026-04-27T00:00:00Z,2026-05-27T00:00:00Z,Starter Plan,pm_3f3f72c2710347f58bf9c8cd,in_ec0b227c4fd04116ba15345c,2025-05-02T00:00:00Z,2025-05-02T18:48:00Z
sub_86ab28cd7f3740f2816e0b0b,cus_85e91144549244f48063ff43,canceled,2900,usd,month,False,2025-07-08T11:55:00Z,,,,2025-07-01T00:00:00Z,2025-07-31T00:00:00Z,Starter Plan,pm_6f82c4323634405aa394fb59,in_07497889349a4a0b85a011d4,2025-05-02T00:00:00Z,2025-05-02T19:10:00Z
sub_ebd51ee198cc43c292edfe16,cus_0caf207fc0cc44698e74c64a,active,2900,usd,month,False,,,,,2026-04-27T00:00:00Z,2026-05-27T00:00:00Z,Starter Plan,pm_f4bd1d9410d34ec8b09e31b6,in_d8b0eb1d649d4f69abd84830,2025-05-02T00:00:00Z,2025-05-02T22:02:00Z
sub_49fc21f3419a49f58cf2e265,cus_b3e4a22a51164c07880246a6,canceled,3900,usd,month,False,2025-05-25T14:07:00Z,,,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,Growth Plan,pm_50df6fafcc9a41d5aa29f86b,in_4f0f0073d7d3408da6adddc5,2025-05-02T00:00:00Z,2025-05-02T12:57:00Z
sub_ff0f65d8611d4f0fa446d47c,cus_be2c4e8f828846549c915787,active,2900,usd,month,False,,,,,2026-04-27T00:00:00Z,2026-05-27T00:00:00Z,Starter Plan,pm_4f0b543409124b429fa866f3,in_21840bb0c87d40d4a7c18907,2025-05-02T00:00:00Z,2025-05-02T11:37:00Z
sub_905a9c14f138422c80fe8989,cus_bf70f5f4aa23444990f452e1,active,2900,usd,month,False,,,,,2026-04-28T00:00:00Z,2026-05-28T00:00:00Z,Starter Plan,pm_226cfd6796cb43b39541030e,in_7e5fb788c0324ebfabd80557,2025-05-03T00:00:00Z,2025-05-03T17:40:00Z
sub_f980cac770134954894fb69e,cus_2013c2b7b368409db9fe6ed3,active,2900,usd,month,False,,,,,2026-04-28T00:00:00Z,2026-05-28T00:00:00Z,Starter Plan,pm_7a186141583743b2a7d48eda,in_46e80aef686547c8a5f4f3e9,2025-05-03T00:00:00Z,2025-05-03T12:49:00Z
sub_c5419ad944124a70a34af9c7,cus_c0793864164b4c1492d58cd5,active,2900,usd,month,False,,,,,2026-04-28T00:00:00Z,2026-05-28T00:00:00Z,Starter Plan,pm_d6586672cb5947648119df93,in_59be795422cb4d1c86af5581,2025-05-03T00:00:00Z,2025-05-03T21:00:00Z
sub_3aaafd2b1c2548628038ac78,cus_8d2ada06a6854dd9a8e72007,active,3900,usd,month,False,,,,,2026-04-28T00:00:00Z,2026-05-28T00:00:00Z,Growth Plan,pm_38fbe4e2cc9349298fa1abee,in_a90c52fc19954ea4b67a6479,2025-05-03T00:00:00Z,2025-05-03T21:02:00Z
sub_5e17af835493422faee28101,cus_bbc451a09a814f1ebc177109,active,2900,usd,month,False,,,,,2026-04-28T00:00:00Z,2026-05-28T00:00:00Z,Starter Plan,pm_21b29cf4774a437d967a3ab1,in_121d150afb7c41a4975d8bda,2025-05-03T00:00:00Z,2025-05-03T19:20:00Z
sub_194b1af71dbe452b9c10021e,cus_33cc5a82d05f4c56aeeca101,canceled,2900,usd,month,False,2025-09-05T12:35:00Z,,,,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,Starter Plan,pm_c7c9da08cce54eea80073192,in_ea75d821ab424463864e94b1,2025-05-04T00:00:00Z,2025-05-04T09:30:00Z
sub_20354a155e1f47deb842fbb0,cus_4faae9ec714d4f5b8a9a1b26,active,2900,usd,month,False,,,,,2026-03-30T00:00:00Z,2026-04-29T00:00:00Z,Starter Plan,pm_a3a008b6b1354965b42bb5f0,in_0a74c3ee443a4f9bb4d854d3,2025-05-04T00:00:00Z,2025-05-04T22:41:00Z
sub_676f0bb7fc4d400cb50b7836,cus_7f161bf6c6bd4c67b1574da3,canceled,4900,usd,month,False,2025-08-26T20:15:00Z,,,,2025-08-02T00:00:00Z,2025-09-01T00:00:00Z,Pro Plan,pm_a6c55954cfbe437ba78631fe,in_943b776e9cec4780ae7dca7a,2025-05-04T00:00:00Z,2025-05-04T18:08:00Z
